Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e186-il-500000-n5
Airfoil,e186-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,71.1418
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-e186-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.7399,0.08447,0.08264,0.0207,1.0000,0.0077
-10.000,-0.8510,0.05459,0.05251,0.0018,1.0000,0.0071
-9.750,-0.8878,0.04824,0.04587,0.0047,1.0000,0.0071
-9.500,-0.9010,0.04343,0.04076,0.0069,1.0000,0.0072
-9.250,-0.9069,0.03895,0.03592,0.0092,1.0000,0.0073
-9.000,-0.9071,0.03612,0.03266,0.0124,0.8781,0.0076
-8.750,-0.9035,0.03326,0.02935,0.0154,0.8404,0.0078
-8.500,-0.8944,0.03063,0.02628,0.0177,0.8130,0.0081
-8.250,-0.8813,0.02833,0.02357,0.0196,0.7903,0.0084
-8.000,-0.8643,0.02657,0.02146,0.0211,0.7705,0.0088
-7.750,-0.8442,0.02537,0.01998,0.0223,0.7528,0.0093
-7.500,-0.8228,0.02437,0.01871,0.0233,0.7372,0.0096
-7.250,-0.8007,0.02345,0.01754,0.0242,0.7229,0.0098
-7.000,-0.7810,0.02148,0.01522,0.0254,0.7106,0.0101
-6.750,-0.7607,0.01956,0.01302,0.0266,0.6994,0.0105
-6.500,-0.7380,0.01842,0.01170,0.0275,0.6888,0.0108
-6.250,-0.7143,0.01752,0.01066,0.0282,0.6783,0.0111
-6.000,-0.6902,0.01672,0.00973,0.0288,0.6689,0.0114
-5.750,-0.6657,0.01607,0.00897,0.0295,0.6604,0.0118
-5.500,-0.6408,0.01549,0.00829,0.0300,0.6516,0.0123
-5.250,-0.6160,0.01489,0.00757,0.0306,0.6440,0.0128
-5.000,-0.5913,0.01427,0.00684,0.0313,0.6364,0.0131
-4.750,-0.5664,0.01371,0.00618,0.0319,0.6297,0.0135
-4.500,-0.5412,0.01322,0.00558,0.0325,0.6226,0.0139
-4.250,-0.5156,0.01280,0.00507,0.0330,0.6164,0.0143
-4.000,-0.4897,0.01243,0.00461,0.0335,0.6100,0.0148
-3.750,-0.4635,0.01212,0.00420,0.0339,0.6042,0.0151
-3.500,-0.4371,0.01181,0.00382,0.0343,0.5981,0.0155
-3.250,-0.4108,0.01151,0.00343,0.0346,0.5925,0.0163
-3.000,-0.3841,0.01126,0.00311,0.0350,0.5872,0.0177
-2.750,-0.3573,0.01103,0.00285,0.0353,0.5815,0.0199
-2.500,-0.3304,0.01085,0.00261,0.0355,0.5765,0.0224
