Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n64015a-il-100000-n5
Airfoil,n64015a-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,36.8079
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n64015a-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.000,-0.7511,0.11842,0.11288,-0.0148,1.0000,0.0333
-14.750,-0.7867,0.10562,0.09996,-0.0228,1.0000,0.0330
-14.500,-0.8199,0.09535,0.08953,-0.0293,1.0000,0.0327
-14.250,-0.8495,0.08708,0.08106,-0.0340,1.0000,0.0325
-14.000,-0.8757,0.08015,0.07393,-0.0373,1.0000,0.0324
-13.750,-0.8987,0.07420,0.06775,-0.0396,1.0000,0.0323
-13.500,-0.9188,0.06903,0.06232,-0.0410,1.0000,0.0323
-13.250,-0.9358,0.06449,0.05752,-0.0416,1.0000,0.0324
-13.000,-0.9498,0.06046,0.05322,-0.0415,1.0000,0.0325
-12.750,-0.9606,0.05686,0.04931,-0.0410,1.0000,0.0327
-12.500,-0.9681,0.05362,0.04577,-0.0399,1.0000,0.0329
-12.250,-0.9722,0.05071,0.04254,-0.0387,1.0000,0.0332
-12.000,-0.9719,0.04808,0.03963,-0.0372,1.0000,0.0336
-11.750,-0.9620,0.04587,0.03732,-0.0364,1.0000,0.0341
-11.500,-0.9522,0.04404,0.03540,-0.0354,1.0000,0.0348
-11.250,-0.9424,0.04240,0.03366,-0.0343,1.0000,0.0357
-11.000,-0.9316,0.04079,0.03191,-0.0331,1.0000,0.0368
-10.750,-0.9186,0.03916,0.03008,-0.0319,1.0000,0.0381
-10.500,-0.9023,0.03751,0.02823,-0.0310,1.0000,0.0394
-10.250,-0.8834,0.03595,0.02644,-0.0301,1.0000,0.0405
-10.000,-0.8641,0.03443,0.02495,-0.0295,1.0000,0.0417
-9.750,-0.8476,0.03317,0.02369,-0.0286,1.0000,0.0431
-9.500,-0.8321,0.03203,0.02250,-0.0274,1.0000,0.0451
-9.250,-0.8163,0.03096,0.02132,-0.0261,1.0000,0.0476
-9.000,-0.8020,0.02982,0.02015,-0.0246,1.0000,0.0499
-8.750,-0.7908,0.02879,0.01915,-0.0227,1.0000,0.0522
-8.500,-0.7799,0.02784,0.01818,-0.0206,1.0000,0.0549
-8.250,-0.7688,0.02702,0.01725,-0.0183,1.0000,0.0584
-8.000,-0.7616,0.02606,0.01638,-0.0156,1.0000,0.0620
-7.750,-0.7532,0.02530,0.01560,-0.0128,1.0000,0.0665
-7.500,-0.7476,0.02453,0.01485,-0.0095,1.0000,0.0713
-7.250,-0.7432,0.02385,0.01420,-0.0060,1.0000,0.0772
-7.000,-0.7404,0.02323,0.01360,-0.0022,1.0000,0.0840
-6.750,-0.7294,0.02252,0.01292,-0.0001,0.9968,0.0951
-6.500,-0.7004,0.02138,0.01195,-0.0017,0.9866,0.1203
-6.250,-0.6737,0.02012,0.01099,-0.0030,0.9760,0.1690
-6.000,-0.6517,0.01859,0.01001,-0.0037,0.9646,0.2620
-5.750,-0.6341,0.01723,0.00949,-0.0029,0.9524,0.3973
-5.500,-0.6063,0.01690,0.00945,-0.0031,0.9429,0.4872
-5.250,-0.5777,0.01681,0.00936,-0.0032,0.9324,0.5301
-5.000,-0.5490,0.01678,0.00928,-0.0033,0.9223,0.5593
-4.750,-0.5182,0.01679,0.00920,-0.0037,0.9137,0.5842
-4.500,-0.4915,0.01690,0.00927,-0.0031,0.9029,0.6069
-4.250,-0.4622,0.01708,0.00941,-0.0028,0.8947,0.6293
-4.000,-0.4353,0.01720,0.00948,-0.0022,0.8845,0.6456
-3.750,-0.4070,0.01723,0.00942,-0.0020,0.8756,0.6573
-3.500,-0.3802,0.01714,0.00920,-0.0018,0.8665,0.6680
-3.250,-0.3515,0.01714,0.00914,-0.0017,0.8575,0.6751
-3.000,-0.3248,0.01698,0.00884,-0.0016,0.8491,0.6836
-2.750,-0.2967,0.01694,0.00875,-0.0015,0.8402,0.6888
-2.500,-0.2691,0.01682,0.00853,-0.0015,0.8324,0.6956
-2.250,-0.2429,0.01672,0.00836,-0.0012,0.8234,0.7017
-2.000,-0.2145,0.01665,0.00822,-0.0012,0.8161,0.7071
