Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0012-il-500000-n5
Airfoil,n0012-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,61.7141
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n0012-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.750,-1.1683,0.10069,0.09689,-0.0021,1.0000,0.0140
-17.500,-1.1891,0.09312,0.08920,-0.0060,1.0000,0.0141
-17.250,-1.2099,0.08573,0.08168,-0.0098,1.0000,0.0141
-17.000,-1.2297,0.07862,0.07444,-0.0135,1.0000,0.0142
-16.750,-1.2482,0.07193,0.06762,-0.0169,1.0000,0.0142
-16.500,-1.2642,0.06573,0.06129,-0.0201,1.0000,0.0143
-16.250,-1.2774,0.06009,0.05551,-0.0230,1.0000,0.0144
-16.000,-1.2876,0.05502,0.05031,-0.0256,1.0000,0.0145
-15.750,-1.2949,0.05052,0.04568,-0.0277,1.0000,0.0146
-15.500,-1.2995,0.04660,0.04164,-0.0294,1.0000,0.0148
-15.250,-1.3018,0.04316,0.03807,-0.0306,1.0000,0.0150
-15.000,-1.3021,0.04016,0.03496,-0.0314,1.0000,0.0152
-14.750,-1.3008,0.03755,0.03223,-0.0318,1.0000,0.0154
-14.500,-1.2982,0.03526,0.02983,-0.0317,1.0000,0.0156
-14.250,-1.2939,0.03328,0.02774,-0.0313,1.0000,0.0159
-14.000,-1.2885,0.03156,0.02589,-0.0305,1.0000,0.0162
-13.750,-1.2815,0.03007,0.02429,-0.0295,1.0000,0.0166
-13.500,-1.2731,0.02878,0.02288,-0.0282,1.0000,0.0169
-13.250,-1.2678,0.02736,0.02140,-0.0265,1.0000,0.0172
-13.000,-1.2593,0.02623,0.02021,-0.0247,1.0000,0.0176
-12.750,-1.2491,0.02528,0.01919,-0.0229,1.0000,0.0180
-12.500,-1.2378,0.02443,0.01826,-0.0209,1.0000,0.0185
-12.250,-1.2249,0.02365,0.01740,-0.0191,1.0000,0.0189
-12.000,-1.2093,0.02289,0.01656,-0.0176,1.0000,0.0195
-11.750,-1.1925,0.02217,0.01577,-0.0163,1.0000,0.0200
-11.500,-1.1753,0.02145,0.01497,-0.0150,1.0000,0.0205
-11.250,-1.1580,0.02071,0.01419,-0.0137,1.0000,0.0212
-11.000,-1.1389,0.02009,0.01353,-0.0126,1.0000,0.0220
-10.750,-1.1189,0.01952,0.01291,-0.0116,1.0000,0.0229
-10.500,-1.0984,0.01898,0.01231,-0.0106,1.0000,0.0238
-10.250,-1.0782,0.01842,0.01168,-0.0096,1.0000,0.0246
-10.000,-1.0580,0.01784,0.01108,-0.0085,1.0000,0.0256
-9.750,-1.0369,0.01734,0.01055,-0.0075,1.0000,0.0267
-9.500,-1.0154,0.01689,0.01006,-0.0066,1.0000,0.0280
-9.250,-0.9940,0.01644,0.00956,-0.0055,1.0000,0.0292
-9.000,-0.9731,0.01596,0.00908,-0.0045,1.0000,0.0308
-8.750,-0.9517,0.01556,0.00865,-0.0034,1.0000,0.0325
-8.500,-0.9302,0.01520,0.00824,-0.0023,1.0000,0.0340
-8.250,-0.9096,0.01477,0.00782,-0.0010,1.0000,0.0360
-8.000,-0.8883,0.01441,0.00745,0.0001,1.0000,0.0384
-7.750,-0.8670,0.01408,0.00709,0.0013,1.0000,0.0407
-7.500,-0.8461,0.01371,0.00674,0.0026,1.0000,0.0437
-7.250,-0.8248,0.01342,0.00643,0.0038,1.0000,0.0466
-7.000,-0.8039,0.01308,0.00611,0.0050,1.0000,0.0504
-6.750,-0.7799,0.01279,0.00582,0.0056,0.9995,0.0547
-6.500,-0.7471,0.01242,0.00548,0.0044,0.9969,0.0608
-6.250,-0.7137,0.01209,0.00517,0.0030,0.9945,0.0678
-6.000,-0.6812,0.01177,0.00488,0.0018,0.9914,0.0761
-5.750,-0.6486,0.01145,0.00460,0.0006,0.9878,0.0862
-5.500,-0.6149,0.01112,0.00433,-0.0008,0.9848,0.0986
-5.250,-0.5817,0.01079,0.00407,-0.0021,0.9814,0.1131
-5.000,-0.5512,0.01046,0.00382,-0.0028,0.9757,0.1296
-4.750,-0.5185,0.01014,0.00359,-0.0040,0.9711,0.1496
-4.500,-0.4888,0.00985,0.00338,-0.0044,0.9640,0.1702
-4.250,-0.4576,0.00953,0.00317,-0.0052,0.9573,0.1940
-4.000,-0.4287,0.00925,0.00298,-0.0055,0.9484,0.2186
-3.750,-0.3988,0.00897,0.00280,-0.0059,0.9395,0.2454
-3.500,-0.3711,0.00871,0.00264,-0.0058,0.9277,0.2713
-3.250,-0.3437,0.00847,0.00249,-0.0057,0.9150,0.2982
-3.000,-0.3166,0.00826,0.00234,-0.0054,0.9008,0.3257
-2.750,-0.2901,0.00806,0.00221,-0.0050,0.8850,0.3532
-2.500,-0.2637,0.00789,0.00210,-0.0045,0.8675,0.3801
-2.250,-0.2373,0.00774,0.00199,-0.0041,0.8486,0.4076
-2.000,-0.2111,0.00761,0.00189,-0.0036,0.8285,0.4342
-1.500,-0.1585,0.00741,0.00173,-0.0026,0.7855,0.4872
-1.250,-0.1321,0.00734,0.00167,-0.0022,0.7625,0.5131
-1.000,-0.1057,0.00729,0.00162,-0.0017,0.7391,0.5392
-0.750,-0.0793,0.00724,0.00158,-0.0013,0.7149,0.5648
-0.500,-0.0529,0.00722,0.00155,-0.0008,0.6905,0.5906
-0.250,-0.0265,0.00719,0.00154,-0.0004,0.6655,0.6157
0.000,0.0000,0.00720,0.00153,0.0000,0.6407,0.6407
0.250,0.0265,0.00719,0.00154,0.0004,0.6155,0.6656
0.500,0.0529,0.00722,0.00155,0.0008,0.5906,0.6906
0.750,0.0794,0.00724,0.00158,0.0013,0.5650,0.7147
1.000,0.1058,0.00729,0.00162,0.0017,0.5393,0.7390
1.250,0.1321,0.00734,0.00167,0.0022,0.5130,0.7625
1.500,0.1585,0.00741,0.00173,0.0026,0.4874,0.7855
1.750,0.1848,0.00751,0.00180,0.0031,0.4607,0.8076
2.000,0.2111,0.00761,0.00189,0.0036,0.4341,0.8285
2.250,0.2373,0.00774,0.00199,0.0041,0.4075,0.8487
2.500,0.2637,0.00789,0.00210,0.0045,0.3803,0.8676
2.750,0.2901,0.00806,0.00221,0.0050,0.3534,0.8850
3.000,0.3167,0.00826,0.00234,0.0054,0.3260,0.9008
3.250,0.3437,0.00848,0.00249,0.0057,0.2980,0.9150
3.500,0.3711,0.00871,0.00264,0.0058,0.2713,0.9277
3.750,0.3988,0.00897,0.00280,0.0059,0.2452,0.9395
4.000,0.4287,0.00925,0.00298,0.0055,0.2186,0.9484
4.250,0.4576,0.00953,0.00317,0.0052,0.1941,0.9573
4.500,0.4889,0.00985,0.00338,0.0044,0.1701,0.9640
