Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e216-il-500000
Airfoil,e216-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,136.84
Max Cl/Cd alpha,3.25
Url,http://airfoiltools.com/polar/csv?polar=xf-e216-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.750,-0.2213,0.08376,0.08152,-0.0715,0.9724,0.0242
-7.500,-0.2170,0.07696,0.07473,-0.0796,0.9666,0.0261
-7.250,-0.2138,0.07185,0.06965,-0.0844,0.9601,0.0262
-6.500,-0.1306,0.02377,0.01944,-0.1510,0.9427,0.0166
-6.250,-0.0911,0.02202,0.01737,-0.1544,0.9418,0.0163
-6.000,-0.0507,0.01956,0.01456,-0.1583,0.9413,0.0163
-5.750,-0.0109,0.01735,0.01206,-0.1617,0.9409,0.0165
-5.500,0.0284,0.01576,0.01033,-0.1647,0.9404,0.0169
-5.250,0.0572,0.01503,0.00957,-0.1653,0.9365,0.0179
-5.000,0.0902,0.01435,0.00884,-0.1666,0.9334,0.0188
-4.750,0.1278,0.01356,0.00796,-0.1688,0.9319,0.0195
-4.500,0.1664,0.01285,0.00717,-0.1712,0.9307,0.0205
-4.250,0.2068,0.01204,0.00630,-0.1740,0.9297,0.0225
-4.000,0.2458,0.01150,0.00572,-0.1764,0.9288,0.0257
-3.750,0.2873,0.01067,0.00502,-0.1794,0.9281,0.0573
-3.500,0.3272,0.01007,0.00461,-0.1822,0.9274,0.1122
-3.250,0.3668,0.00960,0.00425,-0.1848,0.9266,0.1544
-3.000,0.3919,0.00937,0.00413,-0.1842,0.9198,0.1949
-2.750,0.4291,0.00895,0.00387,-0.1863,0.9175,0.2478
-2.500,0.4683,0.00860,0.00360,-0.1887,0.9156,0.2905
-2.250,0.5095,0.00826,0.00334,-0.1915,0.9138,0.3284
-2.000,0.5413,0.00806,0.00321,-0.1923,0.9082,0.3625
-1.750,0.5774,0.00784,0.00304,-0.1940,0.9031,0.3979
-1.500,0.6199,0.00761,0.00286,-0.1971,0.8997,0.4320
-1.250,0.6519,0.00749,0.00279,-0.1979,0.8921,0.4611
-1.000,0.6901,0.00733,0.00266,-0.2000,0.8859,0.4917
-0.750,0.7219,0.00724,0.00262,-0.2008,0.8769,0.5198
-0.500,0.7603,0.00714,0.00253,-0.2029,0.8693,0.5486
-0.250,0.7893,0.00711,0.00253,-0.2030,0.8578,0.5744
0.000,0.8199,0.00709,0.00253,-0.2035,0.8462,0.5996
0.250,0.8503,0.00709,0.00254,-0.2039,0.8340,0.6245
0.500,0.8797,0.00711,0.00256,-0.2041,0.8209,0.6495
