Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23012-il-50000
Airfoil,naca23012-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,24.1793
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23012-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.5047,0.12904,0.12168,0.0135,1.0000,0.2848
-10.500,-0.5118,0.12671,0.11943,0.0128,1.0000,0.2973
-10.250,-0.5206,0.12519,0.11797,0.0125,1.0000,0.3117
-10.000,-0.5113,0.12175,0.11455,0.0133,1.0000,0.3281
-9.750,-0.5055,0.11864,0.11148,0.0139,1.0000,0.3448
-9.500,-0.5015,0.11570,0.10859,0.0146,1.0000,0.3616
-9.250,-0.4936,0.11236,0.10528,0.0154,1.0000,0.3786
-9.000,-0.4844,0.10893,0.10188,0.0162,1.0000,0.3954
-8.750,-0.4760,0.10561,0.09859,0.0170,1.0000,0.4123
-8.500,-0.4651,0.10207,0.09508,0.0178,1.0000,0.4294
-8.250,-0.4533,0.09850,0.09154,0.0186,1.0000,0.4467
-8.000,-0.4479,0.09551,0.08859,0.0195,1.0000,0.4633
-7.750,-0.4230,0.09056,0.08361,0.0188,1.0000,0.4692
-7.250,-0.6036,0.06155,0.05448,-0.0185,1.0000,0.2082
-7.000,-0.6138,0.05457,0.04681,-0.0194,1.0000,0.1781
-6.750,-0.6098,0.04997,0.04160,-0.0180,1.0000,0.1632
-6.500,-0.5985,0.04632,0.03763,-0.0164,1.0000,0.1575
-6.250,-0.5883,0.04319,0.03383,-0.0143,1.0000,0.1524
-6.000,-0.5734,0.04118,0.03116,-0.0120,1.0000,0.1500
-5.750,-0.5544,0.03843,0.02819,-0.0106,1.0000,0.1491
-5.500,-0.5343,0.03604,0.02551,-0.0091,1.0000,0.1485
-5.250,-0.5141,0.03423,0.02329,-0.0074,1.0000,0.1499
-5.000,-0.4919,0.03189,0.02091,-0.0063,1.0000,0.1534
-4.750,-0.4682,0.03013,0.01906,-0.0052,1.0000,0.1566
-4.500,-0.4440,0.02866,0.01743,-0.0041,1.0000,0.1619
-4.250,-0.4187,0.02722,0.01591,-0.0031,1.0000,0.1689
-4.000,-0.3926,0.02590,0.01466,-0.0021,1.0000,0.1780
-3.750,-0.3673,0.02468,0.01355,-0.0012,1.0000,0.1910
-3.500,-0.3440,0.02357,0.01255,0.0000,1.0000,0.2081
-3.250,-0.3239,0.02239,0.01165,0.0013,1.0000,0.2363
-3.000,-0.3096,0.02060,0.01087,0.0033,1.0000,0.3316
-2.750,0.0002,0.02270,0.01377,-0.0271,1.0000,1.0000
-2.500,0.0063,0.02214,0.01317,-0.0255,1.0000,1.0000
-2.250,0.0088,0.02169,0.01270,-0.0233,1.0000,1.0000
-2.000,0.0071,0.02134,0.01234,-0.0203,1.0000,1.0000
-1.750,0.0008,0.02111,0.01211,-0.0166,1.0000,1.0000
-1.500,-0.0103,0.02100,0.01200,-0.0121,1.0000,1.0000
-1.250,-0.0241,0.02099,0.01198,-0.0071,1.0000,1.0000
-1.000,-0.0372,0.02110,0.01204,-0.0023,1.0000,1.0000
-0.750,-0.0466,0.02132,0.01220,0.0018,1.0000,1.0000
-0.500,-0.0514,0.02167,0.01247,0.0052,1.0000,1.0000
-0.250,-0.0521,0.02214,0.01286,0.0077,1.0000,1.0000
0.000,0.0256,0.02304,0.01364,-0.0035,0.9766,1.0000
0.250,0.1183,0.02356,0.01409,-0.0163,0.9457,1.0000
0.500,0.2113,0.02356,0.01408,-0.0283,0.9139,1.0000
0.750,0.2958,0.02306,0.01363,-0.0376,0.8807,1.0000
1.000,0.3543,0.02248,0.01305,-0.0414,0.8451,1.0000
1.250,0.3941,0.02203,0.01254,-0.0416,0.8085,1.0000
1.500,0.4231,0.02175,0.01215,-0.0398,0.7719,1.0000
1.750,0.4446,0.02177,0.01205,-0.0371,0.7331,1.0000
2.000,0.4658,0.02188,0.01199,-0.0345,0.6960,1.0000
2.250,0.4869,0.02212,0.01206,-0.0321,0.6610,1.0000
2.500,0.5080,0.02248,0.01225,-0.0299,0.6285,1.0000
2.750,0.5300,0.02287,0.01242,-0.0279,0.6001,1.0000
3.000,0.5503,0.02349,0.01294,-0.0263,0.5722,1.0000
3.250,0.5728,0.02403,0.01329,-0.0247,0.5498,1.0000
3.500,0.5932,0.02480,0.01404,-0.0233,0.5275,1.0000
3.750,0.6145,0.02557,0.01475,-0.0220,0.5083,1.0000
4.000,0.6358,0.02638,0.01551,-0.0208,0.4910,1.0000
4.250,0.6572,0.02725,0.01636,-0.0196,0.4755,1.0000
4.500,0.6789,0.02814,0.01720,-0.0184,0.4615,1.0000
4.750,0.7012,0.02900,0.01801,-0.0173,0.4483,1.0000
5.000,0.7199,0.03021,0.01937,-0.0162,0.4352,1.0000
5.250,0.7391,0.03147,0.02072,-0.0150,0.4234,1.0000
5.500,0.7619,0.03244,0.02163,-0.0140,0.4129,1.0000
5.750,0.7788,0.03394,0.02332,-0.0129,0.4018,1.0000
6.000,0.7963,0.03550,0.02502,-0.0118,0.3919,1.0000
6.250,0.8185,0.03661,0.02613,-0.0108,0.3821,1.0000
6.500,0.8291,0.03891,0.02872,-0.0095,0.3729,1.0000
6.750,0.8553,0.03981,0.02954,-0.0087,0.3641,1.0000
7.000,0.8572,0.04292,0.03306,-0.0072,0.3553,1.0000
7.250,0.8859,0.04370,0.03373,-0.0064,0.3470,1.0000
7.500,0.8761,0.04807,0.03859,-0.0049,0.3397,1.0000
7.750,0.9101,0.04830,0.03868,-0.0041,0.3306,1.0000
8.000,0.8822,0.05464,0.04549,-0.0028,0.3259,1.0000
8.250,0.8492,0.06185,0.05293,-0.0028,0.3227,1.0000
8.500,0.7811,0.07349,0.06459,-0.0062,0.3258,1.0000
8.750,0.7234,0.08559,0.07658,-0.0130,0.3341,1.0000
