Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e212-il-500000
Airfoil,e212-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,108.427
Max Cl/Cd alpha,3.5
Url,http://airfoiltools.com/polar/csv?polar=xf-e212-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.4612,0.08966,0.08743,-0.0359,1.0000,0.0281
-9.250,-0.4687,0.08544,0.08325,-0.0369,1.0000,0.0289
-8.250,-0.6134,0.03452,0.03099,-0.0724,0.9930,0.0188
-8.000,-0.5936,0.02467,0.01995,-0.0776,0.9895,0.0157
-7.750,-0.5619,0.02246,0.01742,-0.0798,0.9876,0.0156
-7.500,-0.5287,0.02068,0.01540,-0.0818,0.9862,0.0157
-7.250,-0.4946,0.01913,0.01369,-0.0839,0.9850,0.0159
-7.000,-0.4643,0.01799,0.01246,-0.0850,0.9822,0.0163
-6.750,-0.4327,0.01705,0.01143,-0.0863,0.9794,0.0169
-6.500,-0.3987,0.01601,0.01028,-0.0880,0.9772,0.0172
-6.250,-0.3632,0.01507,0.00925,-0.0899,0.9755,0.0177
-6.000,-0.3265,0.01428,0.00837,-0.0921,0.9741,0.0183
-5.750,-0.2890,0.01360,0.00761,-0.0944,0.9730,0.0190
-5.500,-0.2607,0.01292,0.00686,-0.0947,0.9682,0.0198
-5.250,-0.2258,0.01223,0.00610,-0.0964,0.9655,0.0217
-5.000,-0.1894,0.01179,0.00561,-0.0983,0.9635,0.0243
-4.750,-0.1517,0.01117,0.00503,-0.1005,0.9619,0.0363
-4.500,-0.1135,0.01034,0.00454,-0.1032,0.9608,0.1056
-4.250,-0.0849,0.00993,0.00426,-0.1035,0.9554,0.1426
-4.000,-0.0500,0.00953,0.00401,-0.1052,0.9523,0.1849
-3.750,-0.0129,0.00914,0.00377,-0.1072,0.9502,0.2286
-3.500,0.0253,0.00879,0.00354,-0.1095,0.9486,0.2687
-3.250,0.0642,0.00844,0.00333,-0.1119,0.9473,0.3141
-3.000,0.0916,0.00820,0.00317,-0.1117,0.9403,0.3449
