Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ea81006-il-1000000-n5
Airfoil,ea81006-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,66.0179
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-ea81006-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.250,-0.8531,0.09011,0.08845,0.0029,1.0000,0.0028
-12.000,-0.8921,0.07777,0.07614,-0.0056,1.0000,0.0028
-11.500,-1.0491,0.04351,0.04134,-0.0219,1.0000,0.0025
-11.250,-1.0689,0.03662,0.03403,-0.0197,1.0000,0.0025
-11.000,-1.0719,0.03169,0.02873,-0.0178,1.0000,0.0025
-10.750,-1.0642,0.02844,0.02519,-0.0162,1.0000,0.0026
-10.500,-1.0512,0.02604,0.02256,-0.0150,1.0000,0.0026
-10.250,-1.0367,0.02391,0.02018,-0.0137,1.0000,0.0027
-10.000,-1.0193,0.02230,0.01837,-0.0126,1.0000,0.0027
-9.750,-1.0008,0.02084,0.01669,-0.0116,1.0000,0.0028
-9.500,-0.9807,0.01964,0.01533,-0.0107,1.0000,0.0029
-9.250,-0.9597,0.01861,0.01414,-0.0099,1.0000,0.0029
-9.000,-0.9402,0.01721,0.01252,-0.0089,1.0000,0.0031
-8.750,-0.9195,0.01602,0.01115,-0.0079,1.0000,0.0033
-8.500,-0.8971,0.01523,0.01025,-0.0072,1.0000,0.0036
-8.250,-0.8740,0.01463,0.00959,-0.0065,1.0000,0.0039
-8.000,-0.8509,0.01400,0.00889,-0.0058,1.0000,0.0042
-7.750,-0.8277,0.01340,0.00820,-0.0051,1.0000,0.0045
-7.500,-0.8043,0.01286,0.00757,-0.0043,1.0000,0.0048
-7.250,-0.7809,0.01236,0.00700,-0.0036,1.0000,0.0050
-7.000,-0.7573,0.01192,0.00650,-0.0028,1.0000,0.0052
-6.750,-0.7343,0.01137,0.00585,-0.0019,1.0000,0.0058
-6.500,-0.7113,0.01087,0.00529,-0.0010,1.0000,0.0067
-6.250,-0.6882,0.01043,0.00482,-0.0001,1.0000,0.0078
-6.000,-0.6649,0.01007,0.00439,0.0008,1.0000,0.0089
-5.750,-0.6414,0.00976,0.00405,0.0016,1.0000,0.0104
-5.500,-0.6186,0.00939,0.00368,0.0026,1.0000,0.0153
-5.250,-0.5956,0.00910,0.00346,0.0035,1.0000,0.0250
-5.000,-0.5660,0.00897,0.00333,0.0030,0.9988,0.0298
-4.750,-0.5343,0.00894,0.00333,0.0021,0.9969,0.0328
-4.500,-0.5024,0.00885,0.00325,0.0011,0.9947,0.0346
-4.250,-0.4683,0.00880,0.00320,-0.0003,0.9902,0.0360
-4.000,-0.4326,0.00890,0.00330,-0.0021,0.9856,0.0381
-3.750,-0.3983,0.00861,0.00300,-0.0036,0.9788,0.0390
-3.500,-0.3627,0.00837,0.00275,-0.0054,0.9698,0.0398
-3.250,-0.3288,0.00818,0.00254,-0.0067,0.9539,0.0404
-3.000,-0.2991,0.00806,0.00237,-0.0070,0.9263,0.0412
-2.750,-0.2743,0.00800,0.00219,-0.0061,0.8854,0.0420
